x1,x2,x3,x4,x5,x6,x7,x8,x9,y
38,1,41.0,1,1-2 Year,No,31207.0,124.0,127,0
48,1,22.0,0,1-2 Year,Yes,2630.0,26.0,238,0
24,1,28.0,1,< 1 Year,No,46069.0,152.0,158,0
35,1,23.0,1,1-2 Year,No,35828.0,26.0,125,0
41,1,45.0,0,1-2 Year,Yes,29934.0,26.0,98,0
60,1,8.0,0,> 2 Years,Yes,2630.0,157.0,126,1
49,1,28.0,0,1-2 Year,Yes,24117.0,154.0,51,0
26,1,33.0,1,< 1 Year,No,35421.0,152.0,209,0
44,1,6.0,0,1-2 Year,Yes,25288.0,163.0,208,0
71,1,25.0,1,1-2 Year,No,29413.0,124.0,286,0
68,1,48.0,1,1-2 Year,Yes,2630.0,124.0,229,0
23,1,41.0,1,< 1 Year,No,36704.0,152.0,170,0
46,1,39.0,0,1-2 Year,Yes,41979.0,24.0,257,1
24,1,21.0,1,< 1 Year,No,24579.0,152.0,36,0
50,1,28.0,0,1-2 Year,Yes,2630.0,26.0,176,0
28,1,9.0,0,< 1 Year,No,26854.0,152.0,234,0
40,1,8.0,0,1-2 Year,Yes,54987.0,7.0,164,0
77,1,28.0,0,1-2 Year,Yes,63341.0,122.0,17,0
38,1,8.0,0,1-2 Year,Yes,28854.0,124.0,206,0
71,1,21.0,0,1-2 Year,Yes,36136.0,12.0,149,1
30,1,8.0,0,1-2 Year,No,38890.0,26.0,124,0
46,1,46.0,1,1-2 Year,No,21205.0,26.0,190,0
24,1,29.0,1,< 1 Year,No,33265.0,152.0,45,0
23,1,10.0,0,< 1 Year,Yes,32464.0,152.0,269,0
39,1,28.0,0,1-2 Year,No,48905.0,26.0,255,0
53,1,50.0,1,1-2 Year,No,30741.0,26.0,176,0
53,1,28.0,1,1-2 Year,Yes,33583.0,124.0,37,0
72,1,23.0,1,1-2 Year,No,36580.0,157.0,197,0
31,1,45.0,1,1-2 Year,Yes,2630.0,156.0,224,0
21,1,13.0,0,< 1 Year,Yes,28690.0,152.0,17,0
28,1,6.0,1,< 1 Year,No,28226.0,152.0,260,0
20,1,36.0,1,< 1 Year,No,31934.0,160.0,38,0
24,1,30.0,1,< 1 Year,No,28205.0,152.0,123,0
24,1,29.0,1,< 1 Year,No,2630.0,26.0,147,0
35,1,28.0,1,1-2 Year,No,37378.0,26.0,175,0
49,1,28.0,0,1-2 Year,Yes,30911.0,26.0,272,0
42,1,3.0,0,1-2 Year,Yes,26754.0,26.0,36,0
47,1,28.0,0,1-2 Year,Yes,43335.0,26.0,242,0
34,1,15.0,1,1-2 Year,No,2630.0,152.0,30,0
27,1,41.0,1,< 1 Year,No,27575.0,152.0,285,0
51,1,28.0,1,1-2 Year,Yes,37514.0,25.0,127,0
38,1,28.0,0,1-2 Year,Yes,29642.0,156.0,208,1
43,1,28.0,0,1-2 Year,Yes,36619.0,26.0,201,0
45,1,30.0,0,1-2 Year,Yes,2630.0,124.0,48,0
40,1,48.0,0,1-2 Year,Yes,2630.0,157.0,135,0
72,1,28.0,0,1-2 Year,Yes,51216.0,26.0,273,0
33,1,32.0,0,1-2 Year,Yes,31406.0,26.0,274,1
67,1,9.0,1,1-2 Year,No,35678.0,26.0,263,0
21,1,8.0,1,< 1 Year,Yes,48557.0,160.0,193,0
25,1,38.0,0,< 1 Year,No,68800.0,152.0,182,0
28,1,41.0,0,1-2 Year,Yes,2630.0,157.0,57,0
64,1,26.0,0,1-2 Year,Yes,37837.0,26.0,39,0
30,1,28.0,0,< 1 Year,Yes,30377.0,154.0,141,1
76,1,28.0,0,1-2 Year,No,65051.0,52.0,64,0
28,1,41.0,0,< 1 Year,No,2630.0,157.0,219,0
21,1,11.0,1,< 1 Year,No,34041.0,160.0,136,0
27,1,8.0,0,1-2 Year,Yes,2630.0,156.0,157,0
24,1,28.0,1,< 1 Year,Yes,32717.0,152.0,93,0
38,1,27.0,0,1-2 Year,Yes,30994.0,163.0,129,0
39,1,11.0,0,1-2 Year,Yes,22038.0,124.0,293,0
71,1,28.0,0,> 2 Years,Yes,40824.0,26.0,188,1
26,1,35.0,1,< 1 Year,No,36623.0,152.0,75,0
27,1,17.0,1,< 1 Year,No,43624.0,152.0,68,0
52,1,23.0,0,1-2 Year,Yes,2630.0,124.0,64,0
42,1,28.0,0,> 2 Years,Yes,53851.0,10.0,287,1
29,1,14.0,1,< 1 Year,No,31038.0,152.0,10,0
36,1,11.0,0,1-2 Year,Yes,35285.0,124.0,10,1
64,1,15.0,1,1-2 Year,No,42468.0,124.0,132,0
28,1,28.0,0,1-2 Year,Yes,34438.0,154.0,298,0
31,1,15.0,1,< 1 Year,No,38041.0,152.0,71,0
22,1,6.0,1,< 1 Year,No,27042.0,152.0,64,0
40,1,41.0,0,1-2 Year,Yes,38088.0,12.0,251,1
46,1,28.0,0,1-2 Year,Yes,24077.0,124.0,198,0
25,1,19.0,1,< 1 Year,No,2630.0,152.0,119,0
23,1,12.0,1,< 1 Year,No,30455.0,152.0,275,0
24,1,28.0,1,< 1 Year,No,42470.0,152.0,82,0
39,1,24.0,0,1-2 Year,Yes,23357.0,124.0,132,0
63,1,28.0,0,1-2 Year,Yes,2630.0,26.0,172,0
49,1,35.0,0,1-2 Year,Yes,36653.0,10.0,281,0
20,1,34.0,0,< 1 Year,Yes,32059.0,160.0,109,0
35,1,12.0,0,1-2 Year,No,2630.0,124.0,232,0
25,1,12.0,1,< 1 Year,No,29065.0,152.0,36,0
51,1,46.0,0,1-2 Year,Yes,29168.0,26.0,200,1
71,1,46.0,0,1-2 Year,Yes,27110.0,124.0,292,0
44,1,28.0,0,1-2 Year,Yes,46926.0,26.0,154,1
51,1,45.0,0,1-2 Year,Yes,28139.0,124.0,175,0
29,1,46.0,1,< 1 Year,No,32037.0,152.0,182,0
22,1,46.0,1,< 1 Year,No,19140.0,152.0,256,0
76,1,28.0,0,1-2 Year,Yes,20015.0,124.0,191,0
33,1,50.0,0,1-2 Year,Yes,42565.0,3.0,222,1
60,1,33.0,0,1-2 Year,Yes,20523.0,26.0,104,1
20,1,17.0,1,< 1 Year,No,43487.0,160.0,299,0
72,1,28.0,1,1-2 Year,No,42683.0,26.0,100,0
26,1,15.0,1,< 1 Year,No,2630.0,160.0,77,0
22,1,29.0,1,< 1 Year,No,48866.0,152.0,176,0
22,1,46.0,0,< 1 Year,Yes,2630.0,152.0,183,0
40,1,17.0,1,1-2 Year,No,37627.0,30.0,121,0
38,1,28.0,1,1-2 Year,No,68637.0,26.0,282,0
62,1,37.0,0,1-2 Year,Yes,32769.0,26.0,77,0
22,1,46.0,1,< 1 Year,No,23543.0,152.0,87,0
25,1,47.0,1,< 1 Year,No,26759.0,152.0,291,0
51,1,28.0,0,> 2 Years,Yes,52059.0,26.0,244,1
33,1,21.0,1,< 1 Year,No,23436.0,152.0,129,0
41,1,28.0,0,1-2 Year,Yes,45073.0,124.0,214,1
77,1,18.0,0,1-2 Year,Yes,35451.0,124.0,243,0
27,1,28.0,1,< 1 Year,No,36403.0,152.0,177,0
44,1,2.0,0,1-2 Year,Yes,30648.0,122.0,141,0
44,1,36.0,0,1-2 Year,Yes,35797.0,154.0,69,0
36,1,33.0,0,1-2 Year,No,2630.0,156.0,18,0
45,1,43.0,1,1-2 Year,No,32379.0,124.0,93,0
21,1,46.0,1,< 1 Year,No,46688.0,160.0,62,0
51,1,28.0,0,> 2 Years,Yes,66576.0,26.0,41,1
23,1,47.0,1,< 1 Year,No,47624.0,152.0,94,0
27,1,30.0,1,< 1 Year,No,31986.0,152.0,236,0
26,1,49.0,0,< 1 Year,Yes,17305.0,152.0,112,0
69,1,28.0,0,1-2 Year,Yes,55317.0,122.0,70,1
26,1,8.0,1,< 1 Year,No,30300.0,152.0,54,0
66,1,28.0,1,1-2 Year,No,47801.0,26.0,62,0
38,1,38.0,0,1-2 Year,Yes,2630.0,124.0,50,0
72,1,47.0,0,1-2 Year,Yes,2630.0,16.0,233,0
36,1,1.0,0,1-2 Year,Yes,2630.0,156.0,127,0
65,1,10.0,0,1-2 Year,Yes,28418.0,152.0,36,0
49,1,26.0,0,1-2 Year,Yes,2630.0,156.0,72,0
69,1,48.0,0,> 2 Years,Yes,2630.0,124.0,216,0
23,1,2.0,0,< 1 Year,Yes,25261.0,152.0,29,0
27,1,8.0,1,< 1 Year,No,30541.0,152.0,69,0
56,1,11.0,1,1-2 Year,No,2630.0,26.0,185,0
69,1,18.0,1,1-2 Year,No,35235.0,124.0,100,0
60,1,41.0,0,1-2 Year,Yes,24805.0,26.0,182,0
46,1,28.0,0,1-2 Year,Yes,39025.0,26.0,260,0
23,1,46.0,1,< 1 Year,No,35924.0,152.0,56,0
26,1,30.0,1,< 1 Year,No,39778.0,152.0,57,0
42,1,4.0,0,1-2 Year,Yes,27005.0,124.0,117,0
21,1,49.0,0,< 1 Year,Yes,2630.0,160.0,189,0
22,1,14.0,0,< 1 Year,Yes,42430.0,152.0,67,1
49,1,28.0,0,1-2 Year,Yes,29850.0,26.0,102,0
43,1,28.0,0,1-2 Year,Yes,31636.0,124.0,243,0
22,1,28.0,0,< 1 Year,Yes,74064.0,152.0,43,0
42,1,28.0,0,1-2 Year,No,32768.0,26.0,46,0
39,1,36.0,1,1-2 Year,No,24694.0,124.0,243,0
43,1,41.0,0,1-2 Year,Yes,32104.0,26.0,277,0
51,1,18.0,0,1-2 Year,Yes,26395.0,26.0,100,0
22,1,8.0,0,< 1 Year,Yes,2630.0,152.0,155,0
23,1,39.0,1,< 1 Year,No,37491.0,152.0,239,0
59,1,15.0,1,1-2 Year,No,30776.0,124.0,131,0
24,1,6.0,1,< 1 Year,No,23378.0,152.0,112,0
22,1,43.0,1,< 1 Year,No,23257.0,152.0,270,0
35,1,46.0,1,1-2 Year,No,30392.0,122.0,218,0
25,1,28.0,1,< 1 Year,No,56900.0,152.0,266,0
31,1,8.0,1,< 1 Year,No,37509.0,154.0,248,0
44,1,28.0,0,1-2 Year,Yes,2630.0,124.0,88,0
21,1,7.0,1,< 1 Year,No,44424.0,160.0,59,0
59,1,3.0,0,1-2 Year,Yes,2630.0,26.0,71,0
27,1,49.0,1,< 1 Year,No,32987.0,152.0,124,0
21,1,4.0,0,< 1 Year,No,24839.0,160.0,157,0
42,1,41.0,0,1-2 Year,Yes,22476.0,124.0,19,1
23,1,47.0,0,< 1 Year,Yes,27171.0,152.0,219,0
20,1,7.0,0,< 1 Year,No,2630.0,160.0,173,0
69,1,9.0,0,> 2 Years,Yes,40265.0,124.0,43,0
65,1,28.0,0,1-2 Year,Yes,31356.0,124.0,159,0
46,1,36.0,1,1-2 Year,No,36947.0,124.0,148,0
26,1,3.0,1,< 1 Year,No,2630.0,152.0,90,0
51,1,28.0,0,1-2 Year,No,42344.0,26.0,115,0
31,1,15.0,0,1-2 Year,Yes,2630.0,124.0,134,0
32,1,31.0,0,< 1 Year,Yes,2630.0,152.0,257,0
63,1,11.0,1,1-2 Year,No,67021.0,122.0,240,0
40,1,28.0,0,1-2 Year,Yes,22631.0,122.0,220,0
39,1,26.0,1,1-2 Year,No,51189.0,22.0,27,0
26,1,28.0,0,< 1 Year,Yes,45560.0,152.0,169,0
24,1,43.0,0,< 1 Year,Yes,40123.0,152.0,36,0
23,1,46.0,1,< 1 Year,No,36278.0,152.0,57,0
24,1,8.0,0,< 1 Year,Yes,62344.0,152.0,72,0
37,1,28.0,1,1-2 Year,No,38583.0,124.0,63,0
70,1,50.0,1,1-2 Year,No,28674.0,124.0,21,0
36,1,28.0,0,1-2 Year,Yes,34021.0,124.0,79,0
49,1,28.0,0,1-2 Year,Yes,30347.0,26.0,112,0
24,1,11.0,1,< 1 Year,No,22658.0,152.0,191,0
24,1,3.0,0,< 1 Year,Yes,48793.0,152.0,151,0
29,1,28.0,0,< 1 Year,Yes,33204.0,152.0,118,0
23,1,30.0,0,1-2 Year,Yes,31280.0,124.0,263,0
21,1,46.0,1,< 1 Year,No,21606.0,160.0,33,0
31,1,8.0,0,1-2 Year,Yes,2630.0,156.0,88,1
74,1,28.0,1,1-2 Year,No,30060.0,26.0,138,0
25,1,29.0,1,< 1 Year,No,59897.0,152.0,29,0
39,1,28.0,0,1-2 Year,Yes,32391.0,124.0,220,1
30,1,28.0,1,< 1 Year,No,38163.0,152.0,100,0
34,1,8.0,1,1-2 Year,No,41084.0,154.0,29,0
21,1,30.0,0,< 1 Year,Yes,2630.0,160.0,223,0
24,1,36.0,1,< 1 Year,No,41379.0,152.0,186,0
23,1,12.0,1,< 1 Year,No,29402.0,152.0,292,0
41,1,28.0,0,1-2 Year,Yes,38206.0,124.0,166,0
22,1,8.0,1,< 1 Year,No,34354.0,160.0,95,0
22,1,24.0,1,< 1 Year,No,31788.0,152.0,238,0
27,1,11.0,1,< 1 Year,No,24896.0,152.0,24,0
42,1,28.0,0,1-2 Year,Yes,37989.0,26.0,12,1
53,1,30.0,0,1-2 Year,Yes,29962.0,26.0,80,1
67,1,25.0,0,1-2 Year,Yes,31329.0,124.0,120,0
20,1,11.0,0,< 1 Year,Yes,25107.0,160.0,46,0
55,1,8.0,1,1-2 Year,No,35072.0,124.0,210,0
23,1,15.0,1,< 1 Year,No,26723.0,152.0,77,0
54,1,41.0,0,1-2 Year,No,26855.0,26.0,294,0
24,1,30.0,1,< 1 Year,No,25867.0,152.0,97,0
54,1,50.0,0,1-2 Year,Yes,25906.0,8.0,129,0
31,1,15.0,1,< 1 Year,Yes,33049.0,152.0,108,0
30,1,28.0,0,< 1 Year,Yes,42577.0,152.0,155,0
24,1,11.0,1,< 1 Year,No,40800.0,152.0,216,0
27,1,8.0,1,< 1 Year,No,21982.0,152.0,267,0
67,1,28.0,0,1-2 Year,Yes,26647.0,26.0,232,1
49,1,28.0,0,1-2 Year,Yes,2630.0,124.0,160,0
34,1,46.0,1,1-2 Year,No,29467.0,124.0,88,0
36,1,41.0,1,1-2 Year,No,29535.0,152.0,88,0
24,1,27.0,1,< 1 Year,No,28706.0,152.0,184,0
23,1,47.0,0,< 1 Year,No,33302.0,152.0,39,0
22,1,43.0,0,< 1 Year,No,32074.0,152.0,49,0
23,1,30.0,0,< 1 Year,Yes,2630.0,152.0,165,0
27,1,2.0,1,< 1 Year,No,2630.0,152.0,88,0
56,1,15.0,0,1-2 Year,No,38572.0,14.0,55,0
54,1,12.0,1,1-2 Year,No,23071.0,11.0,140,0
24,1,33.0,1,< 1 Year,No,34894.0,152.0,270,0
46,1,28.0,0,1-2 Year,Yes,45396.0,26.0,50,0
23,1,11.0,1,< 1 Year,No,43578.0,152.0,84,0
28,1,16.0,1,< 1 Year,No,30699.0,152.0,242,0
24,1,8.0,0,< 1 Year,No,28759.0,152.0,269,0
48,1,40.0,0,1-2 Year,Yes,37934.0,124.0,81,0
38,1,28.0,1,1-2 Year,No,52894.0,26.0,147,0
34,1,11.0,1,1-2 Year,No,30885.0,152.0,173,0
60,1,28.0,0,1-2 Year,Yes,34029.0,124.0,51,1
23,1,10.0,1,< 1 Year,No,28070.0,152.0,263,0
43,1,28.0,0,1-2 Year,Yes,24430.0,26.0,176,0
52,1,8.0,0,1-2 Year,Yes,2630.0,26.0,144,0
35,1,17.0,1,1-2 Year,No,31543.0,26.0,202,0
20,1,49.0,0,< 1 Year,Yes,32131.0,160.0,146,0
74,1,28.0,1,1-2 Year,No,61254.0,124.0,289,0
53,1,35.0,0,1-2 Year,Yes,23809.0,124.0,171,0
42,1,28.0,0,1-2 Year,Yes,48164.0,124.0,126,0
24,1,30.0,1,< 1 Year,No,2630.0,152.0,125,0
78,1,28.0,0,1-2 Year,Yes,28232.0,26.0,180,0
43,1,28.0,1,1-2 Year,No,32039.0,122.0,276,0
30,1,8.0,0,1-2 Year,Yes,26758.0,26.0,68,0
43,1,28.0,1,1-2 Year,No,36113.0,26.0,139,0
26,1,2.0,1,< 1 Year,No,26200.0,152.0,291,0
41,1,28.0,0,1-2 Year,Yes,67703.0,124.0,88,0
35,1,3.0,0,1-2 Year,Yes,2630.0,26.0,216,0
39,1,36.0,0,1-2 Year,Yes,38496.0,124.0,50,0
50,1,46.0,0,1-2 Year,No,31911.0,124.0,263,0
21,1,28.0,0,1-2 Year,Yes,39999.0,26.0,173,0
24,1,28.0,1,< 1 Year,No,47807.0,152.0,250,0
45,1,30.0,0,1-2 Year,No,33458.0,124.0,59,0
72,1,28.0,0,1-2 Year,Yes,64332.0,16.0,50,0
45,1,7.0,1,1-2 Year,Yes,2630.0,124.0,122,0
38,1,28.0,0,1-2 Year,Yes,58292.0,154.0,81,0
47,1,8.0,0,1-2 Year,No,40787.0,25.0,285,0
22,1,8.0,0,< 1 Year,Yes,36513.0,160.0,189,0
53,1,38.0,0,1-2 Year,Yes,38796.0,124.0,74,0
25,1,9.0,1,< 1 Year,No,21076.0,152.0,141,0
57,1,35.0,0,1-2 Year,Yes,44065.0,10.0,54,1
27,1,50.0,1,1-2 Year,No,2630.0,8.0,141,0
73,1,28.0,0,> 2 Years,Yes,41467.0,122.0,288,0
37,1,39.0,0,1-2 Year,No,43340.0,124.0,169,0
57,1,28.0,0,1-2 Year,Yes,29068.0,24.0,27,0
46,1,28.0,0,1-2 Year,Yes,34220.0,26.0,36,0
43,1,28.0,0,1-2 Year,Yes,23830.0,154.0,278,1
59,1,28.0,0,> 2 Years,Yes,51089.0,124.0,22,0
65,1,41.0,0,1-2 Year,Yes,27806.0,26.0,141,0
33,1,32.0,0,< 1 Year,Yes,2630.0,124.0,205,1
27,1,34.0,0,< 1 Year,No,51334.0,152.0,245,0
80,1,23.0,0,1-2 Year,Yes,28604.0,26.0,155,0
34,1,11.0,1,1-2 Year,Yes,30707.0,124.0,284,0
21,1,32.0,1,< 1 Year,No,35569.0,152.0,123,0
48,1,32.0,0,1-2 Year,Yes,29397.0,124.0,299,0
36,1,29.0,0,1-2 Year,Yes,37649.0,124.0,254,0
46,1,29.0,1,1-2 Year,Yes,2630.0,124.0,59,0
59,1,39.0,1,1-2 Year,No,24419.0,124.0,150,0
29,1,3.0,1,< 1 Year,No,24511.0,152.0,201,0
49,1,46.0,0,1-2 Year,Yes,25488.0,26.0,39,1
39,1,28.0,0,1-2 Year,Yes,33223.0,124.0,143,0
25,1,27.0,1,< 1 Year,No,27159.0,152.0,258,0
50,1,47.0,1,1-2 Year,No,27195.0,124.0,47,0
25,1,8.0,1,< 1 Year,No,34468.0,152.0,220,0
38,1,30.0,1,1-2 Year,No,26045.0,124.0,45,0
43,1,38.0,0,1-2 Year,Yes,2630.0,124.0,256,1
34,1,8.0,0,1-2 Year,Yes,37365.0,160.0,238,0
43,1,17.0,0,1-2 Year,Yes,36733.0,154.0,87,0
46,1,28.0,0,1-2 Year,No,47464.0,124.0,38,0
28,1,43.0,0,< 1 Year,Yes,43415.0,152.0,205,0
27,1,28.0,0,< 1 Year,Yes,39770.0,26.0,23,0
47,1,8.0,1,1-2 Year,No,42204.0,124.0,50,0
24,1,39.0,1,< 1 Year,No,39377.0,152.0,192,0
24,1,41.0,1,< 1 Year,No,29492.0,152.0,115,0
50,1,3.0,0,1-2 Year,Yes,27555.0,26.0,181,0
65,1,28.0,0,1-2 Year,Yes,48738.0,61.0,132,0
29,1,17.0,1,< 1 Year,No,24726.0,152.0,188,0
22,1,32.0,1,< 1 Year,No,36689.0,152.0,78,0
22,1,8.0,0,1-2 Year,No,25323.0,124.0,55,0
45,1,8.0,0,1-2 Year,No,24324.0,124.0,230,0
51,1,46.0,0,1-2 Year,Yes,2630.0,157.0,149,0
47,1,3.0,0,1-2 Year,Yes,21259.0,26.0,283,0
46,1,36.0,0,1-2 Year,Yes,49169.0,26.0,123,0
58,1,50.0,1,1-2 Year,Yes,33705.0,26.0,48,0
65,1,41.0,1,1-2 Year,No,32406.0,26.0,53,0
55,1,47.0,0,1-2 Year,No,32184.0,16.0,204,0
30,1,32.0,0,1-2 Year,Yes,2630.0,124.0,96,0
27,1,28.0,1,< 1 Year,No,30671.0,152.0,104,0
33,1,28.0,1,1-2 Year,No,29969.0,124.0,15,0
23,1,2.0,0,< 1 Year,Yes,2630.0,152.0,211,1
59,1,28.0,0,1-2 Year,Yes,40910.0,124.0,92,0
24,1,5.0,1,< 1 Year,No,24229.0,152.0,172,0
52,1,28.0,0,> 2 Years,Yes,27719.0,124.0,118,0
21,1,12.0,1,< 1 Year,No,23095.0,160.0,206,0
27,1,28.0,1,< 1 Year,No,39739.0,152.0,296,0
27,1,9.0,0,< 1 Year,No,2630.0,160.0,218,0
43,1,28.0,0,1-2 Year,Yes,28484.0,8.0,60,0
76,1,28.0,1,1-2 Year,No,50472.0,26.0,89,0
50,1,28.0,0,1-2 Year,Yes,36093.0,124.0,34,0
44,1,43.0,0,1-2 Year,Yes,24969.0,124.0,94,0
31,1,28.0,0,1-2 Year,Yes,38358.0,158.0,222,0
56,1,28.0,0,1-2 Year,Yes,28718.0,26.0,49,0
30,1,41.0,1,< 1 Year,No,26252.0,152.0,12,0
21,1,8.0,1,< 1 Year,No,64920.0,160.0,54,0
38,1,29.0,0,1-2 Year,Yes,2630.0,156.0,140,1
24,1,28.0,0,< 1 Year,Yes,63398.0,124.0,58,0
26,1,21.0,1,< 1 Year,Yes,27151.0,152.0,67,0
40,1,28.0,0,1-2 Year,Yes,47117.0,26.0,21,0
67,1,41.0,1,1-2 Year,No,32475.0,26.0,183,0
26,1,27.0,0,< 1 Year,No,29087.0,152.0,58,0
31,1,29.0,1,< 1 Year,No,2630.0,152.0,45,0
43,1,28.0,0,1-2 Year,Yes,34855.0,124.0,203,0
50,1,28.0,0,1-2 Year,Yes,71426.0,124.0,251,0
24,1,30.0,0,1-2 Year,Yes,29402.0,124.0,44,1
35,1,30.0,0,1-2 Year,Yes,2630.0,156.0,182,1
42,1,28.0,0,> 2 Years,Yes,28288.0,124.0,26,0
31,1,28.0,1,1-2 Year,No,35145.0,124.0,192,0
24,1,17.0,1,< 1 Year,No,35367.0,152.0,22,0
31,1,30.0,1,< 1 Year,No,26024.0,152.0,293,0
27,1,41.0,1,< 1 Year,No,26678.0,152.0,96,0
22,1,43.0,1,< 1 Year,No,2630.0,152.0,219,0
26,1,35.0,1,< 1 Year,No,27909.0,152.0,71,0
28,1,5.0,1,< 1 Year,No,2630.0,152.0,54,0
31,1,50.0,1,< 1 Year,No,2630.0,160.0,100,0
25,1,24.0,1,< 1 Year,No,26858.0,152.0,198,0
